"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 22:16:13 GMT 2021","Sun Jan 03 22:16:14 GMT 2021","1087","test","login_tests","","","","Logout from System",""
"passed","Sun Jan 03 22:16:11 GMT 2021","Sun Jan 03 22:16:12 GMT 2021","929","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 22:16:27 GMT 2021","Sun Jan 03 22:16:28 GMT 2021","934","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:16:15 GMT 2021","Sun Jan 03 22:16:16 GMT 2021","1010","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 22:16:09 GMT 2021","Sun Jan 03 22:16:10 GMT 2021","1025","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 22:16:24 GMT 2021","Sun Jan 03 22:16:25 GMT 2021","1020","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 22:16:19 GMT 2021","Sun Jan 03 22:16:20 GMT 2021","956","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:16:16 GMT 2021","Sun Jan 03 22:16:17 GMT 2021","1034","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 22:16:21 GMT 2021","Sun Jan 03 22:16:22 GMT 2021","1285","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 22:16:28 GMT 2021","Sun Jan 03 22:16:29 GMT 2021","924","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:16:26 GMT 2021","Sun Jan 03 22:16:27 GMT 2021","1081","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 22:16:18 GMT 2021","Sun Jan 03 22:16:19 GMT 2021","964","test","registration_tests","","","","Register With Existing Profile",""
